iter	Passed	Remaining
0	161	161781
1	162	81292
2	163	54432
3	164	40962
4	165	32891
5	166	27514
6	166	23658
7	167	20761
8	168	18502
9	168	16693
10	169	15212
11	169	13976
12	170	12932
13	170	12039
14	171	11261
15	172	10582
16	172	9982
17	173	9449
18	173	8972
19	174	8543
20	174	8155
21	175	7802
22	176	7479
23	176	7183
24	177	6911
25	177	6660
26	178	6428
27	179	6213
28	179	6013
29	180	5825
30	180	5648
31	181	5484
32	181	5333
33	182	5189
34	183	5052
35	183	4921
36	184	4799
37	184	4682
38	185	4571
39	186	4466
40	186	4366
41	187	4270
42	187	4180
43	188	4093
44	188	4009
45	189	3930
46	190	3853
47	190	3780
48	191	3710
49	191	3644
50	192	3580
51	192	3518
52	193	3458
53	194	3400
54	194	3345
55	195	3292
56	195	3240
57	196	3190
58	197	3142
59	197	3095
60	198	3049
61	198	3005
62	199	2963
63	199	2923
64	200	2884
65	201	2845
66	201	2807
67	202	2771
68	202	2735
69	203	2701
70	203	2667
71	204	2634
72	205	2603
73	205	2572
74	206	2541
75	206	2512
76	207	2483
77	207	2455
78	208	2428
79	208	2402
80	209	2376
81	210	2351
82	210	2323
83	210	2299
84	211	2276
85	212	2253
86	212	2231
87	213	2209
88	213	2187
89	214	2166
90	214	2146
91	215	2125
92	215	2106
93	216	2086
94	217	2067
95	217	2049
96	218	2030
97	218	2013
98	219	1995
99	219	1978
100	220	1961
101	220	1945
102	221	1929
103	222	1913
104	222	1897
105	223	1882
106	223	1867
107	224	1852
108	224	1837
109	225	1823
110	225	1809
111	226	1796
112	227	1783
113	227	1769
114	228	1757
115	228	1744
116	229	1730
117	229	1718
118	230	1706
119	231	1694
120	231	1682
121	232	1669
122	232	1658
123	233	1647
124	233	1635
125	234	1624
126	234	1613
127	235	1602
128	235	1592
129	236	1581
130	236	1571
131	237	1561
132	238	1551
133	238	1542
134	239	1532
135	239	1523
136	240	1514
137	240	1504
138	241	1496
139	242	1487
140	242	1478
141	243	1468
142	243	1459
143	244	1450
144	244	1442
145	245	1434
146	245	1425
147	246	1417
148	246	1409
149	247	1401
150	247	1393
151	248	1386
152	248	1378
153	249	1370
154	250	1363
155	250	1355
156	251	1348
157	251	1341
158	252	1333
159	252	1326
160	253	1318
161	253	1312
162	254	1306
163	255	1299
164	255	1293
165	256	1286
166	256	1280
167	257	1274
168	257	1268
169	258	1262
170	259	1256
171	259	1249
172	260	1243
173	260	1237
174	261	1231
175	261	1225
176	262	1219
177	262	1214
178	263	1208
179	263	1202
180	264	1196
181	265	1191
182	265	1185
183	266	1180
184	266	1174
185	267	1169
186	267	1164
187	268	1158
188	268	1153
189	269	1148
190	270	1144
191	270	1139
192	271	1134
193	271	1129
194	272	1124
195	273	1120
196	273	1115
197	274	1110
198	274	1105
199	275	1101
200	275	1096
201	276	1091
202	276	1087
203	277	1082
204	278	1078
205	278	1073
206	279	1069
207	279	1064
208	280	1060
209	280	1056
210	281	1051
211	281	1047
212	282	1043
213	282	1039
214	283	1035
215	284	1031
216	284	1027
217	285	1023
218	285	1019
219	286	1015
220	287	1011
221	287	1007
222	288	1003
223	288	1000
224	289	996
225	289	992
226	290	988
227	290	984
228	291	981
229	291	977
230	292	974
231	293	970
232	293	966
233	294	963
234	294	959
235	295	956
236	295	952
237	296	948
238	296	945
239	297	941
240	297	938
241	298	935
242	299	932
243	299	929
244	300	925
245	301	922
246	301	919
247	302	916
248	302	913
249	303	910
250	303	906
251	304	903
252	305	900
253	305	897
254	306	894
255	306	891
256	307	888
257	307	885
258	308	882
259	308	879
260	309	876
261	310	873
262	310	870
263	311	867
264	311	864
265	312	861
266	312	858
267	313	855
268	313	852
269	314	850
270	315	847
271	315	844
272	316	842
273	316	839
274	317	837
275	318	834
276	318	831
277	319	829
278	319	826
279	320	824
280	321	821
281	321	819
282	322	816
283	322	813
284	323	811
285	323	808
286	324	806
287	324	803
288	325	800
289	326	798
290	326	795
291	327	793
292	327	790
293	328	788
294	328	786
295	329	784
296	330	781
297	330	779
298	331	777
299	332	774
300	332	772
301	333	770
302	333	767
303	334	765
304	334	763
305	335	760
306	335	758
307	336	756
308	337	753
309	337	751
310	338	749
311	338	747
312	339	744
313	339	742
314	340	740
315	341	738
316	341	735
317	342	733
318	342	731
319	343	729
320	343	727
321	344	725
322	345	723
323	345	721
324	346	719
325	346	717
326	347	715
327	348	713
328	348	711
329	349	709
330	349	706
331	350	704
332	350	702
333	351	700
334	351	698
335	352	696
336	353	694
337	353	692
338	354	690
339	354	688
340	355	686
341	355	684
342	356	682
343	356	680
344	357	678
345	358	676
346	358	674
347	359	673
348	359	671
349	360	669
350	360	667
351	361	665
352	362	664
353	363	662
354	363	660
355	364	659
356	364	657
357	365	655
358	366	653
359	366	651
360	367	649
361	367	648
362	368	646
363	368	644
364	369	642
365	370	641
366	370	639
367	371	637
368	371	635
369	372	634
370	372	632
371	373	630
372	374	628
373	374	627
374	375	625
375	375	623
376	376	622
377	377	620
378	377	618
379	378	617
380	378	615
381	379	613
382	379	612
383	380	610
384	381	608
385	381	607
386	382	605
387	382	603
388	383	602
389	383	600
390	384	598
391	384	597
392	385	595
393	386	593
394	386	592
395	387	590
396	387	588
397	388	587
398	389	586
399	389	584
400	390	583
401	391	581
402	391	580
403	392	578
404	392	577
405	393	575
406	394	574
407	394	572
408	395	571
409	395	569
410	396	568
411	397	566
412	397	565
413	398	563
414	398	562
415	399	560
416	400	559
417	400	557
418	401	556
419	401	555
420	402	553
421	403	552
422	403	550
423	404	549
424	405	548
425	405	546
426	406	545
427	406	543
428	407	542
429	408	541
430	408	539
431	409	538
432	410	536
433	410	535
434	411	534
435	411	532
436	412	531
437	412	529
438	413	528
439	413	526
440	414	525
441	415	523
442	415	522
443	416	521
444	416	519
445	417	518
446	417	516
447	418	515
448	419	514
449	419	512
450	420	511
451	420	510
452	421	508
453	422	507
454	422	506
455	423	505
456	424	504
457	424	502
458	425	501
459	425	500
460	426	498
461	427	497
462	427	495
463	428	494
464	428	493
465	429	492
466	429	490
467	430	489
468	430	487
469	431	486
470	432	485
471	432	483
472	433	482
473	433	481
474	434	479
475	434	478
476	435	477
477	436	476
478	436	475
479	437	473
480	438	472
481	438	471
482	439	470
483	439	468
484	440	467
485	440	466
